"Manage Gift Cards","Gift Cards verwalten"
"Add New Gift Card","Neue Gift Card hinzufügen"
"Save Gift Card","Gift Card speichern"
"Delete Gift Card","Gift Card löschen"
"Resend Gift Card","Gift Card erneut senden"
"Edit Gift Card \'%s\'","Gift Card \'%s\' bearbeiten"
"New Gift Card","Neue Gift Card"
"Card ID","Card ID"
"Card Code","Card Code"
"Initial Value","Anfangswert"
"Current Balance","Aktueller Kontostand"
"Order","Order"
"View","Ansicht"
"Date Created","Erstellungsdatum"
"Card Type","Card Typ"
"Print","Drucken"
"E-mail","E-Mail"
"Offline","Offline"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Delete","Löschen"
"Are you sure?","Sind Sie sicher?"
"Resend","Erneut senden"
"Manage Gift Cards","Gift Cards verwalten"
"Gift Card Information","Gift Card Information"
"Gift Card Info","Gift Card Info"
"Recipient Info","Empfänger Info"
"Offline Address (for offline cards only)","Offline Adresse (nur für offline Cards)"
"To Name","An"
"To Email","E-Mail An"
"From Name","Von"
"Message","Nachricht"
"Card amount is not within the specified range.","Kartenbetrag ist nicht innerhalb des angegebenen Bereichs."
"%s was added to your shopping cart.","%s wurde zu Ihrem Warenkorb hinzugefügt."
"Cannot add the item to shopping cart.","Dieser Artikel kann nicht zum Warenkorb hinzugefügt werden."
"To redeem your gift card or to use your gift card balance you need to be logged in.","Um Ihre Gift Card einzulösen oder Ihr Guthaben zu verwenden, müssen Sie eingeloggt sein."
"Gift Card ""%s"" was applied.","Gift Card ""%s"" wurde angelegt."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" ist nicht gültig."
"To redeem your gift card you need to be logged in.","Um Ihre Geschenkkarte einzulösen, müssen Sie eingeloggt sein."
"Gift Cards","Gift Cards"
"Card does not exists","Karte existiert nicht"
"Gift card was successfully saved","Gift Card wurde erfolgreich gespeichert"
"Unable find gift card to save","Gift Card kann nicht gefunden werden, um sie zu speichern"
"Gift card was successfully deleted","Gift Card wurde erfolgreich gelöscht"
"Please select gift card(s)","Bitte wählen Sie die Gift Card(s)"
"Total of %d geftcard(s) were successfully deleted","Insgesamt %d Gift Card(s) wurden erfolgreich gelöscht"
"%d giftcard(s) were successfully resent","%d Gift Card(s) wurden erfolgreich erneut versandt"
"There was an error processing your order. Please contact us or try again later.","Es gab einen Fehler bei der Verarbeitung Ihrer Bestellung. Bitte kontaktieren Sie uns oder versuchen Sie es später erneut."
"Please specify the product\'s option(s).","Bitte wählen Sie die Artikel-Option(en)."
"My Gift Cards","Meine Gift Cards"
"My Gift Card balance","Mein Gift Card Guthaben"
"Enter the Gift Card code","Geben Sie den Gift Card-Code ein"
"Redeem","Einlösen"
"Card Type","Card Typ"
"Move to Wishlist","Auf den Wunschzettel"
"Gift Gards","Gift Gards"
"Use my Gift Card balance.","Mein Gift Card Guthaben verwenden."
"Or redeem and use your Gift Card now:","Oder jetzt einlösen und Ihre Gift Card verwenden:"
"Redeem and Use","Einlösen und Verwenden"
"To use your gift cards, please <a href=""%s"">register</a> or <a href=""%s"">log in</a>.","Um Ihre Gift Cards zu verwenden, <a href=""%s"">registerieren Sie sich</a> oder <a href=""%s"">melden Sie sich an</a>."
"Choose the type of Gift Card","Wählen Sie den Gift Card-Typ"
"E-mail Gift Card (to someone or yourself)","Gift Card mailen (an jemand oder sich selbst)"
"Print-Out Gift Card","Gift Card drucken"
"Amount","Betrag"
"Recipient E-mail","E-Mail Empfänger"
"To","An"
"From","Von"
"To E-mail","E-Mail An"
"Mail Delivery Date","E-Mail Lieferdatum"
"Preview my gift card","Vorschau meiner Gift Card"
"Redeem and use your Gift Card now:","Meine Gift Card jetzt einlösen:"
"Select amount","Betrag wählen"
"Check Gift Card Balance","Gift Card Guthaben prüfen"
"Gift Card: ","Gift Card: "
"Check","Prüfen"
"applied from Gift Card","aktiviert von Gift Card"
"Remaining card balance","Verbleibendes Guthaben"
"Purchased Gift Cards","Gekaufte Gift Cards"
"You have placed no orders.","Sie haben keine Bestellung aufgegeben."
"Used Gift Cards","Gebrauchte Gift Cards"
"Card Balance","Card Guthaben"
"Active","Aktiv"
"Inactive","Inaktiv"
"Used","Gebraucht"
